request_date,request_time,IP,req,req_URL,RC,refer_name,refer_url,agent,req_type,req_tag,req_residue,resource_type,resource_title
2021-08-20,08:39:07,188.233.216.181,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
2021-08-27,04:56:28,188.76.14.128,GET,/resources/agpvsim,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,agpvsim,,,
2021-08-13,13:01:14,190.138.122.171,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,jupyter,,,
2021-08-26,04:23:19,190.43.183.169,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,imagesegment,,,
2021-08-12,15:36:47,198.102.151.241,GET,/tools/fibstream/invoke/24,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",tool,fibstream,invoke/24,,
2021-08-06,02:26:09,199.247.40.59,GET,/tools/mastmltutorial,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36",tool,mastmltutorial,,,
2021-08-17,20:23:32,203.205.141.117,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-17,20:22:59,203.205.141.117,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,jupyter,,,
2021-08-18,06:25:06,212.127.69.52,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
2021-08-22,23:04:20,217.165.14.231,GET,/resources/draft?step=1&type=9,200,google.com,https://accounts.google.com/CheckCookie?hl=ar&checkedDomains=youtube&checkConnection=youtube%3A856%3A0&flowName=GeneralOAuthFlow&client_id=80064560730.apps.googleusercontent.com&chtml=LoginDoneHtml&service=lso&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAPWpmbu2anLrspuO8Wp0vapuCoksVXyKFlYrkPIuGwPTpmRGIoEW5bWcM0EwKmA0_xhugXSq1EyoofSttoYbyUON8TUfCrMnKVWhGi5LFdf_54dadEFcnNFD1d2d8ROK4tRq6ILq5ktpxPcrYnwELVunxvr2o7xekSv5ecpkyZ0_RFwRdhL05o9F5PyjXLvQY_pyOCtnN4Feq1LkgTvPUN9VbPxhVjbEimWzmanyYr1ZF3pbgo83vU8F-w3cBUlrS5HY6QNgmeWZ6s94KuMcnNSPYzNjIFUK-PxLT7bA5XaZiIQN-SPWZxi_pqHzECCB7asvmefBWstpktmEsXQKRLEVAdf93iFBQ6nm9vaxMwAUVz30UbOREfkHOLeq6t6C_ACmrgrOPtfN4zvAbL9lV78N30J8A%26as%3DS2030787638%253A1629698605716210%26rapt%3DAEjHL4Ppg4E9qzl3UsQQt6-4bRky2YXUTBxay3g4HFV2ws_XGtt0HPjQ1jIVE1q2A2suRYFrXjsMHNu8vVAHkNALjJXSEdwG4w%23&gidl=EgIIAA,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",tool,draft,?step=1&type=9,,
